Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT100000,Overloading,4544,Karnataka,2023-01-01,23:02,Car,Red,2012,West Bengal,25,Male,Commercial,5,Cloudy,Slippery,OFF9971,Local Police,Valid,4,N/A,Yes,Green,100,95,0.03,Negative,Yes,No,Online,Yes,3,Repeat Offender
VLT100001,Driving Without License,2776,Punjab,2023-01-02,00:42,Scooter,Silver,2010,Tamil Nadu,32,Female,Commercial,4,Rainy,Dry,OFF6000,Highway Patrol,Valid,4,N/A,No,Green,40,48,0.45,Negative,Yes,Yes,Online,No,2,Repeat Offender
VLT100002,Using Mobile Phone,4785,Maharashtra,2023-01-03,04:32,Scooter,Grey,2006,Tamil Nadu,67,Female,Two-Wheeler,8,Clear,Potholes,OFF5706,Local Police,Valid,5,Yes,Yes,Yellow,80,26,0.31,Not Conducted,No,No,Not Paid,Yes,4,
VLT100003,No Seatbelt,1138,Uttar Pradesh,2023-01-04,15:06,Car,Green,1996,Uttar Pradesh,46,Male,Learner,3,Rainy,Wet,OFF5575,Highway Patrol,Valid,2,No,No,Green,100,115,0.09,Not Conducted,No,Yes,Online,No,5,Repeat Offender
VLT100004,Over-speeding,1610,Karnataka,2023-01-05,06:57,Truck,Yellow,2016,Delhi,63,Female,Four-Wheeler,4,Foggy,Potholes,OFF7147,Traffic Police,Valid,4,N/A,No,Red,30,115,0.28,Positive,No,Yes,Cash,Yes,0,
VLT100005,Over-speeding,4636,Maharashtra,2023-01-06,16:36,Bus,White,2013,Gujarat,33,Male,Commercial,2,Rainy,Dry,OFF2122,RTO,Valid,5,Yes,N/A,Green,100,87,0.17,Negative,Yes,No,Card,No,3,Fine Paid On Spot
VLT100006,Wrong Parking,2793,West Bengal,2023-01-07,02:03,Scooter,Silver,2018,Delhi,42,Other,Learner,0,Dust Storm,Dry,OFF6500,Local Police,Valid,2,N/A,N/A,Green,30,24,0.5,Not Conducted,Yes,Yes,Cash,Yes,1,
VLT100007,Over-speeding,3965,Delhi,2023-01-08,16:23,Truck,Yellow,2009,Punjab,28,Male,Four-Wheeler,2,Clear,Under Construction,OFF1220,Local Police,Valid,2,N/A,No,Green,60,119,0.19,Positive,No,No,Not Paid,No,2,Fine Paid On Spot
VLT100008,No Seatbelt,4497,Uttar Pradesh,2023-01-09,18:09,Bus,Green,2021,Maharashtra,34,Female,Heavy Vehicle,9,Foggy,Wet,OFF8579,RTO,Expired,3,Yes,N/A,Green,80,36,0.28,Negative,No,No,Cash,No,4,First Violation
VLT100009,Using Mobile Phone,374,West Bengal,2023-01-10,17:01,Car,Red,1997,Uttar Pradesh,75,Other,Commercial,0,Clear,Dry,OFF7351,Local Police,Expired,5,No,Yes,Red,30,114,0.48,Not Conducted,Yes,Yes,Not Paid,No,2,Repeat Offender
VLT100010,Using Mobile Phone,458,Tamil Nadu,2023-01-11,05:24,Bus,Silver,2005,West Bengal,28,Female,Commercial,1,Cloudy,Slippery,OFF1849,Highway Patrol,Valid,2,No,No,Red,80,107,0.06,Positive,No,Yes,Card,No,2,First Violation
VLT100011,Overloading,2236,West Bengal,2023-01-12,09:17,Bus,Silver,1997,Maharashtra,22,Female,Commercial,0,Foggy,Wet,OFF8390,RTO,Expired,5,Yes,Yes,Green,40,62,0.25,Not Conducted,Yes,Yes,Online,No,4,First Violation
VLT100012,No Helmet,915,Maharashtra,2023-01-13,03:57,Scooter,Green,2021,Maharashtra,54,Male,Learner,3,Dust Storm,Dry,OFF9569,RTO,Suspended,5,No,Yes,Red,100,32,0.03,Positive,No,No,Not Paid,No,1,First Violation
VLT100013,Signal Jumping,4994,Delhi,2023-01-14,21:13,Car,Black,2021,Karnataka,19,Male,Four-Wheeler,1,Rainy,Dry,OFF1680,Highway Patrol,Expired,5,Yes,N/A,Green,80,99,0.49,Negative,No,No,Cash,No,5,First Violation
VLT100014,No Seatbelt,4098,Gujarat,2023-01-15,20:39,Truck,Green,2022,Gujarat,47,Female,Two-Wheeler,6,Rainy,Wet,OFF1227,RTO,Suspended,2,N/A,No,Yellow,80,27,0.34,Negative,No,No,Cash,Yes,5,First Violation
VLT100015,No Seatbelt,1837,West Bengal,2023-01-16,18:17,Bus,Black,2011,Gujarat,18,Other,Heavy Vehicle,8,Foggy,Slippery,OFF5533,Local Police,Valid,1,No,No,Yellow,50,90,0.17,Positive,No,No,Not Paid,Yes,1,Repeat Offender
VLT100016,No Seatbelt,4646,Punjab,2023-01-17,01:00,Auto Rickshaw,Blue,2017,Punjab,45,Male,Four-Wheeler,7,Dust Storm,Wet,OFF8422,RTO,Suspended,1,No,N/A,Green,60,70,0.02,Negative,No,No,Card,Yes,3,First Violation
VLT100017,No Helmet,4336,Tamil Nadu,2023-01-18,01:05,Truck,White,1996,Uttar Pradesh,56,Female,Commercial,6,Clear,Potholes,OFF1267,RTO,Expired,5,Yes,N/A,Red,50,90,0.44,Not Conducted,Yes,No,Card,No,0,Repeat Offender
VLT100018,Using Mobile Phone,3715,Punjab,2023-01-19,07:20,Auto Rickshaw,Yellow,1995,Maharashtra,22,Female,Four-Wheeler,10,Dust Storm,Slippery,OFF3172,Local Police,Expired,2,Yes,No,Green,80,73,0.5,Not Conducted,Yes,Yes,Card,Yes,5,
VLT100019,Signal Jumping,883,Karnataka,2023-01-20,17:58,Bus,Silver,2014,Gujarat,51,Male,Two-Wheeler,8,Cloudy,Wet,OFF5581,Traffic Police,Suspended,2,N/A,N/A,Green,50,78,0.21,Positive,Yes,Yes,Cash,No,5,
VLT100020,Wrong Parking,2727,Gujarat,2023-01-21,09:00,Auto Rickshaw,Black,1996,Uttar Pradesh,19,Female,Heavy Vehicle,2,Clear,Dry,OFF3080,Traffic Police,Valid,1,Yes,No,Green,30,52,0.11,Positive,Yes,Yes,Online,Yes,4,Fine Paid On Spot
VLT100021,Drunk Driving,1502,Punjab,2023-01-22,17:32,Scooter,Silver,2003,Karnataka,63,Male,Learner,8,Foggy,Dry,OFF5003,Local Police,Valid,2,No,Yes,Red,60,61,0.43,Positive,Yes,Yes,Cash,Yes,0,First Violation
VLT100022,Signal Jumping,1665,Tamil Nadu,2023-01-23,23:32,Bike,Grey,2016,West Bengal,64,Male,Learner,10,Foggy,Potholes,OFF8995,Highway Patrol,Expired,5,No,Yes,Yellow,30,26,0.32,Positive,No,No,Card,No,1,
VLT100023,No Helmet,3951,Punjab,2023-01-24,21:26,Truck,White,2007,Delhi,32,Female,Heavy Vehicle,4,Cloudy,Wet,OFF4358,Highway Patrol,Suspended,4,No,Yes,Red,80,38,0.36,Not Conducted,No,Yes,Card,No,1,First Violation
VLT100024,Signal Jumping,4232,Delhi,2023-01-25,15:18,Scooter,Red,2019,Karnataka,30,Female,Learner,8,Dust Storm,Wet,OFF6798,RTO,Valid,3,N/A,No,Yellow,60,92,0.4,Negative,No,No,Card,Yes,4,First Violation
VLT100025,Overloading,2026,Uttar Pradesh,2023-01-26,18:23,Bike,White,1998,Punjab,25,Other,Four-Wheeler,4,Dust Storm,Slippery,OFF8383,RTO,Expired,1,No,No,Yellow,60,81,0.29,Negative,Yes,No,Cash,No,0,
VLT100026,Drunk Driving,4741,Karnataka,2023-01-27,18:54,Scooter,Yellow,2018,West Bengal,66,Other,Commercial,0,Clear,Under Construction,OFF2246,Traffic Police,Expired,4,Yes,No,Yellow,50,84,0.21,Positive,No,No,Card,Yes,3,
VLT100027,Over-speeding,4999,Delhi,2023-01-28,21:56,Bus,Silver,2017,Karnataka,49,Female,Commercial,3,Cloudy,Slippery,OFF1032,Highway Patrol,Suspended,1,No,No,Green,100,66,0.5,Negative,Yes,No,Online,Yes,5,Repeat Offender
VLT100028,Drunk Driving,2397,Delhi,2023-01-29,14:41,Bike,Yellow,2002,Punjab,23,Female,Two-Wheeler,3,Clear,Potholes,OFF6662,RTO,Valid,5,Yes,No,Green,30,89,0.33,Negative,Yes,No,Card,Yes,5,First Violation
VLT100029,Using Mobile Phone,1163,Maharashtra,2023-01-30,00:17,Bus,Grey,2020,Maharashtra,74,Male,Heavy Vehicle,10,Dust Storm,Dry,OFF4573,Local Police,Expired,5,N/A,No,Green,50,97,0.38,Positive,Yes,No,Not Paid,Yes,0,
VLT100030,No Helmet,4508,Uttar Pradesh,2023-01-31,07:42,Car,Silver,2009,West Bengal,73,Male,Learner,1,Clear,Under Construction,OFF6687,Highway Patrol,Valid,1,No,N/A,Green,40,101,0.17,Not Conducted,Yes,Yes,Card,Yes,3,Fine Paid On Spot
VLT100031,Using Mobile Phone,3358,Delhi,2023-02-01,15:46,Bus,Yellow,2021,West Bengal,51,Female,Heavy Vehicle,4,Cloudy,Potholes,OFF6939,Highway Patrol,Expired,5,Yes,No,Yellow,80,34,0.29,Not Conducted,Yes,No,Not Paid,No,5,Repeat Offender
VLT100032,No Helmet,323,Uttar Pradesh,2023-02-02,10:41,Scooter,Silver,2013,Tamil Nadu,52,Male,Four-Wheeler,6,Rainy,Dry,OFF6108,Local Police,Suspended,5,N/A,No,Yellow,40,21,0.17,Negative,No,Yes,Card,Yes,3,First Violation
VLT100033,Signal Jumping,3636,Punjab,2023-02-03,09:16,Car,Yellow,2018,Delhi,69,Male,Two-Wheeler,10,Cloudy,Slippery,OFF8194,Traffic Police,Expired,2,No,N/A,Green,80,40,0.3,Positive,Yes,Yes,Not Paid,Yes,3,First Violation
VLT100034,No Seatbelt,2937,Karnataka,2023-02-04,04:35,Truck,Red,2011,Delhi,19,Male,Four-Wheeler,2,Foggy,Slippery,OFF4686,Traffic Police,Suspended,3,Yes,N/A,Yellow,40,27,0.35,Not Conducted,Yes,No,Cash,Yes,2,First Violation
VLT100035,No Helmet,2943,Delhi,2023-02-05,12:42,Bike,Grey,2004,Tamil Nadu,40,Female,Four-Wheeler,3,Rainy,Potholes,OFF4462,Traffic Police,Suspended,4,No,N/A,Yellow,100,67,0.32,Positive,No,No,Not Paid,Yes,2,
VLT100036,Drunk Driving,2252,Tamil Nadu,2023-02-06,04:44,Scooter,Grey,1996,Uttar Pradesh,45,Female,Learner,10,Dust Storm,Dry,OFF2047,Local Police,Expired,3,No,No,Green,80,118,0.25,Negative,Yes,No,Cash,Yes,5,
VLT100037,Signal Jumping,2411,Karnataka,2023-02-07,23:32,Scooter,White,2017,Karnataka,50,Female,Four-Wheeler,3,Dust Storm,Under Construction,OFF3703,Highway Patrol,Expired,4,Yes,No,Yellow,40,95,0.22,Positive,Yes,Yes,Card,Yes,3,Repeat Offender
VLT100038,Driving Without License,3984,Gujarat,2023-02-08,04:53,Bus,Black,2019,Uttar Pradesh,67,Male,Two-Wheeler,8,Dust Storm,Potholes,OFF3801,Highway Patrol,Valid,3,No,Yes,Green,50,84,0.27,Not Conducted,Yes,Yes,Cash,Yes,2,First Violation
VLT100039,Drunk Driving,2044,Karnataka,2023-02-09,02:55,Bus,Black,2018,West Bengal,47,Other,Heavy Vehicle,2,Dust Storm,Under Construction,OFF2878,Highway Patrol,Suspended,5,Yes,Yes,Green,60,84,0.43,Negative,Yes,Yes,Cash,No,2,Fine Paid On Spot
VLT100040,Signal Jumping,3476,Karnataka,2023-02-10,07:44,Bike,Green,2005,Maharashtra,52,Female,Two-Wheeler,0,Clear,Slippery,OFF7641,Highway Patrol,Suspended,2,N/A,No,Red,40,41,0.45,Not Conducted,Yes,No,Card,Yes,3,First Violation
VLT100041,Driving Without License,801,Delhi,2023-02-11,04:19,Auto Rickshaw,Silver,2013,Karnataka,73,Other,Learner,3,Rainy,Wet,OFF7309,Highway Patrol,Suspended,2,N/A,No,Red,40,102,0.29,Negative,No,Yes,Online,Yes,2,Repeat Offender
VLT100042,Signal Jumping,3215,Uttar Pradesh,2023-02-12,16:19,Truck,Silver,2019,Maharashtra,43,Male,Learner,7,Rainy,Dry,OFF6530,Local Police,Valid,1,No,Yes,Red,60,55,0.2,Not Conducted,Yes,No,Not Paid,Yes,4,First Violation
VLT100043,Overloading,4981,West Bengal,2023-02-13,12:57,Bike,Yellow,2011,Delhi,69,Female,Heavy Vehicle,3,Cloudy,Under Construction,OFF2101,Traffic Police,Suspended,1,N/A,Yes,Green,80,41,0.24,Negative,Yes,Yes,Not Paid,Yes,4,Fine Paid On Spot
VLT100044,Over-speeding,3162,Maharashtra,2023-02-14,02:01,Auto Rickshaw,White,1996,Karnataka,26,Male,Learner,7,Dust Storm,Dry,OFF3879,Traffic Police,Suspended,1,Yes,No,Green,60,73,0.12,Not Conducted,Yes,Yes,Not Paid,Yes,3,
VLT100045,Driving Without License,3809,West Bengal,2023-02-15,11:07,Truck,Green,2015,Tamil Nadu,18,Male,Two-Wheeler,10,Cloudy,Slippery,OFF2516,Local Police,Suspended,3,N/A,No,Yellow,100,87,0.34,Not Conducted,No,Yes,Online,Yes,2,First Violation
VLT100046,No Seatbelt,4716,Punjab,2023-02-16,14:19,Car,Blue,2008,Karnataka,64,Male,Heavy Vehicle,3,Clear,Slippery,OFF8812,Traffic Police,Suspended,4,N/A,No,Yellow,100,56,0.43,Negative,Yes,Yes,Cash,Yes,0,First Violation
VLT100047,Driving Without License,4397,West Bengal,2023-02-17,22:02,Bike,Silver,2008,Gujarat,42,Male,Two-Wheeler,1,Rainy,Wet,OFF5433,Highway Patrol,Valid,1,Yes,Yes,Yellow,30,99,0.27,Negative,Yes,Yes,Cash,Yes,2,
VLT100048,No Seatbelt,3287,Gujarat,2023-02-18,14:37,Bus,Yellow,1999,Delhi,72,Male,Heavy Vehicle,9,Clear,Slippery,OFF6160,Local Police,Suspended,4,N/A,Yes,Red,50,25,0.36,Not Conducted,No,No,Not Paid,No,1,
VLT100049,Driving Without License,1044,Punjab,2023-02-19,03:48,Auto Rickshaw,Blue,1998,Delhi,47,Other,Heavy Vehicle,7,Foggy,Under Construction,OFF2391,Highway Patrol,Expired,2,Yes,No,Green,100,83,0.17,Negative,No,No,Cash,Yes,2,First Violation
VLT100050,Over-speeding,4845,Gujarat,2023-02-20,08:18,Bike,Yellow,1997,Tamil Nadu,18,Female,Heavy Vehicle,3,Foggy,Potholes,OFF8132,Traffic Police,Suspended,2,Yes,No,Red,80,99,0.01,Negative,No,No,Not Paid,No,0,
VLT100051,Signal Jumping,138,Uttar Pradesh,2023-02-21,05:59,Bike,Green,2002,West Bengal,63,Other,Heavy Vehicle,5,Cloudy,Wet,OFF3171,Local Police,Valid,1,Yes,No,Green,40,85,0.22,Positive,Yes,No,Card,Yes,5,Repeat Offender
VLT100052,Overloading,1311,Delhi,2023-02-22,22:21,Bus,White,1995,Delhi,20,Other,Heavy Vehicle,6,Foggy,Slippery,OFF8738,Traffic Police,Valid,5,N/A,No,Green,80,26,0.23,Positive,Yes,No,Cash,No,3,
VLT100053,Overloading,2288,Delhi,2023-02-23,11:30,Scooter,Blue,1995,Delhi,59,Female,Four-Wheeler,1,Dust Storm,Under Construction,OFF3914,Traffic Police,Suspended,2,N/A,Yes,Red,30,45,0.09,Not Conducted,No,Yes,Not Paid,No,0,First Violation
VLT100054,Using Mobile Phone,4138,Tamil Nadu,2023-02-24,21:11,Auto Rickshaw,Black,2013,Karnataka,21,Male,Heavy Vehicle,1,Clear,Under Construction,OFF4211,Highway Patrol,Valid,5,No,No,Green,40,96,0.2,Positive,Yes,Yes,Online,Yes,1,Fine Paid On Spot
VLT100055,Wrong Parking,1177,Uttar Pradesh,2023-02-25,07:50,Truck,Grey,2017,Maharashtra,51,Other,Two-Wheeler,8,Clear,Potholes,OFF4676,Highway Patrol,Expired,1,Yes,No,Green,80,112,0.11,Negative,No,Yes,Not Paid,No,5,
